id,sku,name,asin,fnsku,category,product_category,sub_category,units_per_box,moq,lead_time_for_manufacturing_days,lead_time_days (min),lead_time_days (max),cogs,is_active,created_at,Dimension,Weight in KG,CBM
,COFFEEMAT6040BLACK,S2C Kitchen Mat Dish Drying Mat Anti Slip Coffee Mat Big Size 60L x 40W  3.5mm Thickness High Absorbent Mat for Kitchen Counter Kitchen Mats Drying Mat Kitchen (60*40 BLACK),B0CWLN1MKG,X001YY6KJT,A,Home and Kitchen,Kitchen Mat,40,120,7,49,59,5.79,TRUE,,51*42*26,21.67,0.06
,DE-3LDA-FHAZ,S2C Shower Filter High Pressure Shower Head with 3 Modes and Stop Button Rainfall Spa Water Saving Ionic Shower heads Spray Handheld Shower filter for Hair loss cleans water and chlorine,B09YZWL2Q9,X001K5R7NF,A,Home and Kitchen,Shower Head,50,100,7,49,59,5.4,TRUE,,53*46*46,15.50,0.11
,30OZTALPHINE,S2C Zenith TrekMate 30oz Stainless Steel Tumbler with Handle & Flip Straw | Leakproof Double-Wall Insulated | Fits Cup Holder | Keeps Drinks Hot & Cold for Hours (Alpine),B0DSFZBCQ6,X0027OZUY1,C,Tumblrs,30oz,25,100,15,57,67,10.77,TRUE,,56*55*28,12.67,0.09
,400ZBLUE,S2C 1200ML Insulated Water Bottle with 3 Lids Double Wall Leak Proof Stainless Steel Water Bottle With Straw For Gym Thermos Flask for Hot Water Bottle (BLUE),B0B6SRTFM3,X001LP505V,B,Water Bottles,40oz,25,100,15,57,67,16.15,TRUE,,53*53*40,18.00,0.11
,400ZGRAPHITE,S2C 1200ML Insulated Water Bottle with 3 Lids Double Wall Leak Proof Stainless Straw Water Bottle For Gym Thermos Flask for Hot Water Bottle (GREY),B0B6SP3859,X001LP4XVD,B,Water Bottles,40oz,25,100,15,57,67,16.15,TRUE,,53*53*40,18.00,0.11
,18OZWBFLORAL,S2C Kids Water Bottle with Straw Lid – 550ml Stainless Steel Double Wall Insulated BPA-Free Leak-Proof Bottle for School & Toddlers (PEACH),B0F18Z713B,X0029BBTK1,A,Water Bottles,Kids Bottle - Printed,25,100,15,57,67,14.36,TRUE,,52*53*39,11.30,0.11
,KIDSWBGRNDINO,S2C Kids Water Bottle with Straw & Handle - 16 oz BPA Free Kids Water Bottles Spill Proof Cups for kids Easy-Clean Water Bottle With Straw Kids Water Bottle For School (GREEN DINOSAUR),B0FN4JQDLD,X002DV9CZB,A,Water Bottles,Kids Bottle - 16OZ,50,100,6,48,58,6.15,TRUE,,51*41*41,10.89,0.09
,18OZWBBUBBLEGUM,S2C Kids Water Bottle with Straw Lid – 550ml Stainless Steel Double Wall Insulated BPA-Free Leak-Proof Bottle for School & Toddlers (BUBBLE GUM),B0CM8WWYJ9,X001WDBTH5,A,Water Bottles,Kids Bottle - Printed,25,100,15,57,67,14.36,FALSE,,52*53*39,11.30,0.11
,18OZWBBSPACE,S2C Kids Water Bottle with Straw Lid – 550ml Stainless Steel Double Wall Insulated BPA-Free Leak-Proof Bottle for School & Toddlers (BLACK SPACE),B0F6C8DFQQ,X002AHMR8H,A,Water Bottles,Kids Bottle - Printed,25,100,15,57,67,14.36,TRUE,,52*53*39,11.30,0.11
,18OZBABYWHALE,S2C Kids Water Bottle with Straw Lid – 550ml Stainless Steel Double Wall Insulated BPA-Free Leak-Proof Bottle for School & Toddlers (blue),B0DXKBTJY1,X0028NL47N,A,Water Bottles,Kids Bottle - Printed,25,100,15,57,67,14.36,TRUE,,52*53*39,11.30,0.11
,32OZSTRAWLIDGREEN,S2C Stainless Steel Water Bottle 1L 32oz Double Wall Vacuum Insulated Water Bottle BPA Free Water Bottle for Kids School with Straw lid- Thermos Water Flask for Hot Water (GREEN),B0CL9MSF5Q,X001W2FUGR,B,Water Bottles,32oz Straw,25,100,15,57,67,11.79,TRUE,,55*55*29,13.08,0.09
,WB750MLPINK,S2C Water Bottle Stainless Steel 750ml - Double Wall insulated Water Bottles for Hot Water Gym Bottle Stainless Steel Water Bottle for Kids School Flask Bottle Hot water bottle (TEA PINK 750ml),B0BM6M3DPW,X001O3V6IZ,B,Water Bottles,750ML,25,100,15,57,67,9.64,TRUE,,43*43*31,10.80,0.06
,WB750MLRED,S2C Water Bottle Stainless Steel 750ml - Double Wall insulated Water Bottles for Hot Water Gym Bottle Stainless Steel Water Bottle for Kids School Flask Bottle Hot water bottle (RED 750ml),B0BM6MYHN5,X001O3R90T,B,Water Bottles,750ML,25,100,15,57,67,9.64,TRUE,,43*43*31,10.80,0.06
,32OZDRAINBOW,S2C Stainless Steel Water Bottle 1L 32oz Double Wall Vacuum Insulated Water Bottle BPA Free for Kids School with Spout Lid - Thermos Water Flask for Hot Water (DARK RAINBOW),B0F542MPJK,X002D7S61B,B,Water Bottles,32oz Spout,25,100,15,57,67,11.79,TRUE,,55*55*29,13.08,0.09
,WB750MLBLACK,S2C Water Bottle Stainless Steel 750ml - Double Wall insulated Water Bottles for Hot Water Gym Bottle Stainless Steel Water Bottle for Kids School Flask Bottle Hot water bottle (BLACK 750ml),B0BM6NZ9XT,X001O402EN,B,Water Bottles,750ML,25,100,15,57,67,9.64,TRUE,,43*43*31,10.80,0.06
,30OZTBLUE,S2C Zenith TrekMate 30oz Stainless Steel Tumbler with Handle & Flip Straw | Leakproof Double-Wall Insulated | Fits Cup Holder | Keeps Coffee & Water Hot or Cold for Hours | Durable Travel Mug (Blue),B0DSFYG1FJ,X0027OV2BV,C,Tumblrs,30oz,25,100,15,57,67,10.77,TRUE,,56*55*28,12.67,0.09
,A0-7VIA-W1E0,S2C Dish Rack Dish Drying Stand Dish Drainer Plate Rack Dish rake Kitchen Organizer Dish Drying Rack Countertop Large Antibacterial Kitchen Utensils Dish racks Dish Stand (STYLE A),B08WNJ6JMH,X001BJ17R7,A,Home and Kitchen,Dish Rack,8,120,7,49,59,18.59,TRUE,,61*46*36,6.83,0.10
,30OZTBLACK,S2C Zenith TrekMate 30oz Stainless Steel Tumbler with Handle & Flip Straw | Leakproof Double-Wall Insulated | Fits Cup Holder | Keeps Coffee & Water Hot or Cold for Hours | Durable Travel Mug (Black),B0DSFZ22TB,X0027OXZMF,C,Tumblrs,30oz,25,100,15,57,67,10.77,TRUE,,56*55*28,12.67,0.09
,WHALEBLUE-2COMP-LB,S2C Stainless Steel Kids Lunch Box | 2-Compartment Bento Box with Leak-Proof Lid & Cute Printed Design | Compact & Easy-to-Carry | Ideal for School Snacks & Meals (BLUE WHALE),B0FDWJC58Y,X002C6AYY5,C,Lunch Box,2 COMP,20,100,15,57,67,19.28,TRUE,,72*66*54,17.29,0.26
,57-3HRH-306S,S2C Motivational Large Water Bottle 1L Tritan Sports Water Bottle With Time Markers Leak Proof Water Bottle For Kids School Water Bottles (GREEN),B09C4PR41N,X001F1Z13R,A,Water Bottles,Sports Water Bottle,60,120,12,54,64,4.62,TRUE,,62*42*52,14.40,0.14
,EA-QVX0-EUJK,S2C Wall Mounted Bathroom Shelf Heavy Duty Rustproof Shower Caddy with Soap Holder Stainless Steel Bathroom Organizer Bathroom Accessories Corner Shelf Kitchen Organizer (SILVER),B09GB1NB9B,X001FS9AAZ,C,Home and Kitchen,Shower Caddy,5,100,7,49,59,0,FALSE,,**,0.00,0.00
,WB750mlPURPLE,S2C Water Bottle Stainless Steel 750ml - Double Wall insulated Water Bottles for Hot Water Gym Bottle Stainless Steel Water Bottle for Kids School Flask Bottle Hot water bottle (PURPLE 750ml),B0CFVWG53B,X001UBW51D,B,Water Bottles,750ML,25,100,15,57,67,9.64,TRUE,,43*43*31,10.80,0.06
,32OZWBYELLOW,S2C Stainless Steel Water Bottle 1L 32oz Double Wall Vacuum Insulated Water Bottle BPA Free for Kids School with Spout Lid - Thermos Water Flask for Hot Water (YELLOW),B0CKSSZK2W,X001VVB64J,B,Water Bottles,32oz Spout,25,100,15,57,67,11.79,TRUE,,55*55*29,13.08,0.09
,WB750mlSILVER,S2C Water Bottle Stainless Steel 750ml - Double Wall insulated Water Bottles for Hot Water Gym Bottle Stainless Steel Water Bottle for Kids School Flask Bottle Hot water bottle (SILVER 750ml),B0CFVTL8S5,X001UBWYFZ,B,Water Bottles,750ML,25,100,15,57,67,9.64,FALSE,,43*43*31,10.80,0.06
,WB750MLGREY,S2C Water Bottle Stainless Steel 750ml - Double Wall insulated Water Bottles for Hot Water Gym Bottle Stainless Steel Water Bottle for Kids School Flask Bottle Hot water bottle (GREY 750ml),B0BM6N374C,X001O3RCE7,B,Water Bottles,750ML,25,100,15,57,67,9.64,TRUE,,43*43*31,10.80,0.06
,WB750MLSGREEN,S2C Water Bottle Stainless Steel 750ml - Double Wall insulated Water Bottles for Hot Water Gym Bottle Stainless Steel Water Bottle for Kids School Flask Bottle Hot water bottle (GREEN 750ml),B0BM6LKX1Z,X001O3V3UV,B,Water Bottles,750ML,25,100,15,57,67,9.64,TRUE,,43*43*31,10.80,0.06
,40OZSKY,S2C 1200ML Insulated Water Bottle with 3 Lids Double Wall Leak Proof Stainless Steel Bottle With Straw For Gym Water Bottle Thermos Flask for Hot Water Bottle (SKY),B0C6FS4Z25,X001SDTLHJ,B,Water Bottles,40oz,25,100,15,57,67,16.15,TRUE,,53*53*40,18.00,0.11
,32OZWBNAVYBLUE,S2C Stainless Steel Water Bottle 1L 32oz Double Wall Vacuum Insulated BPA Free Water Bottle for Kids School with Spout Lid - Thermos Water Flask for Hot Water (NAVY BLUE),B0CD2VQXZ9,X001TW8X1J,B,Water Bottles,32oz Spout,25,100,15,57,67,11.79,TRUE,,55*55*29,13.08,0.09
,GREYSLCNBWLSMALL,S2C Stainless Steel Pet Bowl Non Slip Cat Bowl Elevated Dog bowl Cat Food Bowl Cat Bowl Food and Water Cats Accessories Pet Bowl Cat Plate Dog Food Bowl Dog accessories (GREY SMALL),B0D1VLZSM7,X00208WIQ7,C,Pet Supplies,Pet Bowls,30,150,7,49,59,9.74,TRUE,,50*41*41,15.00,0.08
,12OZCMBLUSHPINK,"S2C WANDER Series - Premium Insulated Coffee Travel Mug with Lid, Leak Proof, BPA Free, Stainless Steel, Keeps Drinks Hot 8 Hours/Cold 12 Hours, 12oz Capacity, Perfect for Travel & Car (Pink)",B0FWKSMV4J,X002FHFITR,C,Wander,Insulted Coffee Mug,25,200,15,57,67,9.12,TRUE,,51*41*41,10.89,0.09
,32OZSTRAWLIDSKYBLUE,S2C Stainless Steel Water Bottle 1L 32oz Double Wall Vacuum Insulated Water Bottle BPA Free Water Bottle for Kids School with Straw lid- Thermos Water Flask for Hot Water (SKY BLUE),B0CL9MNSCY,X001W2JFIV,B,Water Bottles,32oz Straw,25,100,15,57,67,11.79,TRUE,,55*55*29,13.08,0.09
,320ZWBROSEPINK,S2C Stainless Steel Water Bottle 1L 32oz Double Wall Vacuum Insulated Water Bottle BPA Free for Kids School with Spout Lid - Thermos Water Flask for Hot Water (G PINK),B0CKSVJT47,X001VV4UXX,B,Water Bottles,32oz Spout,25,100,15,57,67,11.79,FALSE,,55*55*29,13.08,0.09
,WB750MLYELLOW,S2C Water Bottle Stainless Steel 750ml - Double Wall insulated Water Bottles for Hot Water Gym Bottle Stainless Steel Water Bottle for Kids School Flask Bottle Hot water bottle (YELLOW 750ml),B0FFM7RJ4L,X002CBLFD9,B,Water Bottles,750ML,25,100,15,57,67,9.64,TRUE,,43*43*31,10.80,0.06
,32OZWBSKYLUE,S2C Stainless Steel Water Bottle 1L 32oz Double Wall Vacuum Insulated Water Bottle BPA Free for Kids School with Spout Lid - Thermos Water Flask for Hot Water (SKY BLUE),B0CD3K1ST4,X001TWE1M9,B,Water Bottles,32oz Spout,25,100,15,57,67,11.79,TRUE,,55*55*29,13.08,0.09
,WB750mlPEACH,S2C Water Bottle Stainless Steel 750ml - Double Wall insulated Water Bottles for Hot Water Gym Bottle Stainless Steel Water Bottle for Kids School Flask Bottle Hot water bottle (PEACH 750ml),B0CFVZNVYZ,X001UBPE7P,B,Water Bottles,750ML,25,100,15,57,67,9.64,TRUE,,43*43*31,10.80,0.06
,WB15LPURPLE,S2C WATER BOTTLE 1.5L LEAKPROOF- GYM BOTTLE SPORTS WATER BOTTLE WITH MOTIVATIONAL WATER BOTTLE FOR KIDS SCHOOL LARGE WATER BOTTLES FOR SPORTS HIKING OFFICE WATER JUG (PURPLE),B0B6PV3VM9,X001LOD15X,B,Water Bottles,40oz,25,100,15,57,67,0,FALSE,,**,0.00,0.00
,40OZTBLACK,S2C 40oz Stainless Steel Tumbler with Handle & Straw – Double Wall Vacuum Insulated Mug – Leakproof BPA-Free Keeps Drinks Hot & Cold – Ideal for Office Gym Travel – Fits Car Cup Holder–(Black),B0DSF6V13B,X0027OH9TZ,B,Tumblrs,40ozT,20,100,15,57,67,11.28,TRUE,,62*58*32,14.20,0.12
,12OZCMFOREST,"S2C WANDER Series - Premium Insulated Coffee Travel Mug with Lid, Leak Proof, BPA Free, Stainless Steel, Keeps Drinks Hot 8 Hours/Cold 12 Hours, 12oz Capacity, Perfect for Travel & Car (Forest)",B0FWKF7ZM3,X002FHH5N9,A,Wander,Insulted Coffee Mug,25,200,15,57,67,9.12,TRUE,,51*41*41,10.89,0.09
,COFFEMATGREY60x40,S2C Kitchen Mat Dish Drying Mat Anti Slip Coffee Mat Big Size 60L x 40W  3.5mm Thickness High Absorbent Mat for Kitchen Counter Kitchen Mats Drying Mat Kitchen (60*40 GREY),B0CT8LWLBL,X001Y5UYVN,A,Home and Kitchen,Kitchen Mat,40,120,7,49,59,8.08,TRUE,,51*42*26,21.67,0.06
,12OZCMBLUE,"S2C WANDER Series - Premium Insulated Coffee Travel Mug with Lid, Leak Proof, BPA Free, Stainless Steel, Keeps Drinks Hot 8 Hours/Cold 12 Hours, 12oz Capacity, Perfect for Travel & Car (Blue)",B0FWKDCG82,X002FHJO2J,C,Wander,Insulted Coffee Mug,25,200,15,57,67,9.12,TRUE,,51*41*41,10.89,0.09
,12OZCMAMBERLEAF,"S2C WANDER Series - Premium Insulated Coffee Travel Mug with Lid, Leak Proof, BPA Free, Stainless Steel, Keeps Drinks Hot 8 Hours/Cold 12 Hours, 12oz Capacity, Perfect for Travel & Car (Amberleaf)",B0FWKFDJGY,X002FH4BGX,C,Wander,Insulted Coffee Mug,25,200,15,57,67,9.12,TRUE,,51*41*41,10.89,0.09
,12OZCMGREEN,"S2C WANDER Series - Premium Insulated Coffee Travel Mug with Lid, Leak Proof, BPA Free, Stainless Steel, Keeps Drinks Hot 8 Hours/Cold 12 Hours, 12oz Capacity, Perfect for Travel & Car (Green)",B0FWKDL4NM,X002FHMIWR,C,Wander,Insulted Coffee Mug,25,200,15,57,67,9.12,TRUE,,51*41*41,10.89,0.09
,500MLGREEN,S2C Water Bottle Stainless Steel 500ml - Double Wall insulated Water Bottles for Hot Water Gym Bottle Stainless Steel Water Bottle for Kids School Flask Bottle Hot water bottle (SEA GREEN 500ML),B0C77LYQN3,X001SLK0QR,C,Water Bottles,500 ML,25,100,15,57,67,8.2,FALSE,,**,0.00,0.00
,175Pcs Party Supplies,S2C 175 PCS Rose Gold Party Supplies Serves 25 Disposable Dinnerware Set Gold Plastic Forks Knives Spoons and Golden Dot White Paper Plates Napkins and Cups for Birthday (A-175 PCS),B09GG2CL11,X001HVGNP5,B,Home and Kitchen,Party Supplies,12,120,7,49,59,14.87,TRUE,,58*33*48,15.08,0.09
,KIDSWBBLUE,S2C Water Bottle for Kids With Straw & Handle - 16 oz BPA Free Kids Water Bottles Spill Proof Cups for kids Easy-Clean Water Bottle With Straw Kids Water Bottle For School toddler water bottle,B0CGZT9463,X001UU8FGD,A,Water Bottles,Kids Bottle - 16OZ,50,100,6,48,58,6.15,TRUE,,51*41*41,10.89,0.09
,18OZSWBPINK,S2C 550ml Leakproof Stainless Steel Water Bottle for Kids With Straw & Handle Kids Water Bottle For School Boys Girls|Easy to Carry|BPA Free (PINK),B0CYLWL9WM,X001ZMS8N1,A,Water Bottles,Kids Bottle - Zaafi,25,200,15,57,67,14.1,TRUE,,48*48*26,10.90,0.06
,500MLPEACH,S2C Water Bottle Stainless Steel 500ml - Double Wall insulated Water Bottles for Hot Water Gym Bottle Stainless Steel Water Bottle for Kids School Flask Bottle Hot water bottle (DARKBLUE 500ML),B0C77KZXZD,X001SLJZM7,C,Water Bottles,500 ML,25,100,15,57,67,8.2,FALSE,,**,0.00,0.00
,32OZBLACK2IN1,S2C Stainless Steel 1L 32oz Double Wall Vacuum Insulated Water Bottle BPA Free for Kids School with Spout Lid - Thermos Water Flask for Hot Water (BLACK),B0FFB6SC6W,X002C9O6BJ,C,Water Bottles,32OZ-2 IN 1,25,100,15,57,67,11.79,FALSE,,55*55*29,13.08,0.09
,320ZWBGREY,S2C Stainless Steel Water Bottle 1L 32oz Double Wall Vacuum Insulated Water Bottle BPA Free for Kids School with Spout Lid - Thermos Water Flask for Hot Water (GREY),B0CKSRCXNN,X001VVFXHP,B,Water Bottles,32oz Spout,25,100,15,57,67,11.79,TRUE,,55*55*29,13.08,0.09
,320ZWBORANGE,S2C Stainless Steel Water Bottle 1L 32oz Double Wall Vacuum Insulated Water Bottle BPA Free for Kids School with Spout Lid - Thermos Water Flask for Hot Water (ORANGE),B0CKSRWR85,X001VVBF63,B,Water Bottles,32oz Spout,25,100,15,57,67,11.79,FALSE,,55*55*29,0.00,0.09
,32OZSTRAWLIDBLACK,S2C Stainless Steel Water Bottle 1L 32oz Double Wall Vacuum Insulated Water Bottle BPA Free Water Bottle for Kids School with Straw lid- Thermos Water Flask for Hot Water (BLACK),B0CL9KT95G,X001W2FJ95,B,Water Bottles,32oz Straw,25,100,15,57,67,11.79,TRUE,,55*55*29,13.08,0.09
,1LWBGREYWHITE,S2C Motivational Large Water Bottle 1L Tritan Plastic Water Bottle With Time Markers Leak Proof Water Bottle For Kids School Water Bottles (GREY&WHITE),B09XXYWDQH,X001JX22MJ,A,Water Bottles,Sports Water Bottle,60,120,12,54,64,4.62,TRUE,,62*42*52,14.40,0.14
,WB002-C,S2C Motivational Water Bottle 1l Water Bottle for Kids School Water Bottles With Straw Leak Proof Water Bottle With Time Marker For Sport School Gym Office (GRADIENT PURPLE),B09VH5VYX1,X001JANY5V,A,Water Bottles,Sports Water Bottle,60,120,12,54,64,6.54,TRUE,,61*60*52,16.40,0.19
,WB002-B,S2C Motivational Water Bottle 1l Water Bottle for Kids School Water Bottles With Straw Leak Proof Water Bottle With Time Marker For Sport School Gym Office (GRADIENT PINK),B09VH7LL3H,X001JALJIZ,A,Water Bottles,Sports Water Bottle,60,120,12,54,64,6.54,TRUE,,61*60*52,16.40,0.19
